Company,Rate,Views,Ref
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
Infotech,5,1100,"В юбилейный день космонавтики в Москве открылась 2-я Международная выставка-форум «Инновации и технологии 2011». Она продолжалась три дня и на площади в пять тысяч квадратных метров собрала более тысячи идей и готовых образцов инновационных продуктов со всей России. 

В этот раз особое внимание было уделено полету Гагарина в космос. На стендах крутились видеофильмы о спутниках, МКС, космонавтах и жизни на борту космолета. Ключевое место в экспозиции занимала площадка ракетно-космической корпорации «Энергия». Она представила изобретения самого широкого спектра — от образцов космической промышленности до трехколесных электрических мопедов.



Кроме того, большое внимание было уделено робототехнике. Самые разные образцы — от роботехнических комплексов и андроидов до евроботов и маленьких манипуляторов, собранных школьниками. На одном стенде был представлен R.Bot, разработка, которая может использоваться в множестве систем — от высотного видеонаблюдения до роботизированной полиции. На другом — несложный манипулятор, собранный девятилетним изобретателем. Он умеет различать объекты и передвигать их с места на место. Во второй день выставки на стенде Евробота развернулась демонстративная «схватка» между двумя роботами.



Интерактивные мобильные роботы R.BOT 100 распознает препятствия, может двигаться самостоятельно к человеку.



Аналог R.BOT-а, прототип недорог до 2к$ на стадии стартапа 



Примечательно робот собран 9-летним ребенком «Лаборатория Робототехники» г.Москва

Среди других интересных разработок были представлены, например, литий-ионные аккумуляторы повышенной емкости, принципиально новый преобразователь энергии, особый газ, который может гасить пожары (кстати, очень актуально в свете грядущих лесных пожаров), системы удаленного присутствия и многие другие.

Также в рамках выставки стартовал «Салон изобретений» — около шестидесяти малых инновационных предприятий, частных изобретателей и молодых ученых из самых разных сфер представили свои разработки. Среди них будут отобраны несколько проектов и рекомендованы потенциальным инвесторам. 

По итогам Иннотеха 2011 «Российская венчурная компания», один из организаторов выставки, планирует создать кластерный фонд иформационно-телекоммуникационных технологий, робототехники, мехатроники и интеллектуальных систем. Предполагается, что объем фонда составит два миллиарда рублей.

«Агентство по инновациям и развитию» участвовало в Иннотехе с собственным стендом. Мы рассказывали о нашей деятельности по оценке, отбору, сопровождению и внедрению инновационных проектов. Было приятно осознавать, то наша работа интересна такому количеству профессионалов в инновационной сфере."
