,,,,,
AvitoTech,"Мы команда инженеров Авито. В блоге рассказываем о технологиях и инструментах компании, своём опенсорсе, митапах в нашем офисе и конференциях, на которых выступаем.

У нас больше тысячи микросервисов на Python и Go, фронтенд на JavaScript, базы данных PostgreSQL, MongoDB и Redis, автоматические тесты, обученная на данных система модерации и поисковый движок Sphinx.

В Авито уже 1000 инженеров. Мы работаем в небольших кросс-функциональных командах, каждая из которых отвечает за конкретную часть сервиса. Нашим продуктом каждый месяц пользуются десятки миллионов человек, поэтому мы умеем работать с большими нагрузками.

Подписывайтесь на блог, задавайте нам вопросы и делитесь опытом в комментариях.",192.81,Веб-разработка Электронная коммерция Веб-сервисы,27.05.16,Государство и Общество
ВТБ,"Банк ВТБ — международная финансовая группа, предоставляющая широкий спектр финансово-банковских услуг.
В России ВТБ предоставляет весь спектр банковских услуг через разветвленную региональную сеть. Дочерние организации Группы предоставляют услуги по лизингу, факторингу и другие финансовые сервисы и продукты.
Основным акционером ВТБ является Правительство РФ, которому принадлежит 60,9% голосующих акций.
С более подробной информацией можно ознакомиться на сайте: www.vtb.ru",133.51,Веб-разработка Программное обеспечение Электронная коммерция,,Государство и Общество
VK,"Строим сервисы, используя силу социальных сетей.
Помогаем людям и компаниям объединяться вокруг того, что действительно важно.",894.7,Мобильные технологии Веб-сервисы Игры и развлечения,"
09.07.08",Культурные проекты в сети
Альфа-Банк,"Alfa Digital – IT-подразделение Альфа-Банка, команда продуктовой разработки и запуска цифровых технологий. Мы создали digital-банк №1 в России и лучший мобильный банк по версии Markswebb.

В Alfa Digital более 7 000 IT-сотрудников: Java, JavaScript, Mobile, QA, Data Science, Product, UX/UI, DevOps, Agile. Основной стек: Node.js, React, Redux, C++, PostgreSQL, TypeScript, Python. Офисы находятся в Москве, Санкт-Петербурге и Екатеринбурге, удалённые сотрудники есть по всей России.

Мы организуем митапы по QA, Data Science, Design Systems, Backend, JavaScript, System Analytics, Scrum, iOS, Product (QAчественное общение, UX Dating, NO BLSHT и другие). Ещё проводим форум Alfa Digital Open, нашумевший онлайн-чемпионат Alfa Battle с крупными денежными призами, международный лагерь для обмена идей Alfa Battle Camp.

В блоге сотрудники Alfa Digital рассказывают о проектах и технологиях, делятся историями успеха. В новостях выходят анонсы митапов, One Day Offer, практикумов Alfa Campus и программ стажировки для входа в IT и обучения junior-разработчиков. Подписывайтесь, чтобы узнать о нашем стеке, трендах финтех-разработки и быть в курсе новых мероприятий.
",190.11,Дизайн и юзабилити Электронная коммерция Мобильные технологии,11.09.12,"Наука, технологии и инновации"
Лаборатория Касперского,"«Лаборатория Касперского» — крупнейшая в мире частная компания, работающая в сфере информационной безопасности, и один из наиболее быстро развивающихся вендоров защитных решений. Наша компания осуществляет свою деятельность в 200 странах и территориях мира, а наши 34 офиса открыты в 31 стране. В «Лаборатории Касперского» работает более 4500 высококвалифицированных специалистов.

Мы международная компания, обладающая масштабным видением и ориентированная на мировой рынок.

Заняв уверенную позицию в первой четверке ведущих мировых производителей защитных решений для пользователей конечных устройств, мы продолжаем укреплять свое положение на рынке. Наша компания названа «Лидером» в категории Endpoint Protection (решения для защиты конечных устройств) по версии «Большой тройки» аналитических агентств (Gartner, IDC и Forrester).",354.52,Программное обеспечение,"
08.08.08","Наука, технологии и инновации"
Росатом,"Госкорпорация «Росатом» — российский холдинг, обладающий ресурсами и компетенциями для успешной деятельности во всех звеньях производственной цепочки атомной энергетики. Работаем на стыке науки и IT с использованием высоких технологий. Решаем глобальные задачи международного и национального масштаба.

Мы неоднократно признавалась лучшим работодателем России и находимся в активном поиске талантливых специалистов — от стажеров до руководителей. Если ты готов доказать, что ты лучший в своем деле, и раскрыть свой потенциал, присоединяйся к нам.","25.38
",Веб-разработка Аппаратное обеспечение Веб-сервисы,22.12.21,"Наука, технологии и инновации"
Ростелеком,"Ростелеком — это не просто телеком-оператор. Мы — крупнейший в России интегрированный провайдер digital-решений и услуг для населения, бизнеса и государства.

Наша миссия — дать людям качественные и удобные цифровые сервисы для комфортной жизни и эффективного бизнеса. Наша команда из 130 тысяч сотрудников и 200 дочерних организаций – пожалуй, единственная компания в стране, которая имеет доступ к уникальным, масштабным проектам, способным изменить историю технологий в контексте страны и мира. Помимо широкополосного доступа в интернет, интерактивного ТВ и телефонии, мы разрабатываем цифровые решения для кибербезопасности, городской инфраструктуры, электронного правительства, технологии «умного дома», системы видеонаблюдения, видеосервис Wink, продукты в сфере биометрии, медицины и образования.

Работая с такими уникальными проектами и сложными продуктами, мы каждый день открываемся новому и развиваем свой профессионализм, оставаясь лидером индустрии. Ростелеком — лидер на российском рынке быстрого доступа в интернет (13,5 млн пользователей), платного ТВ (10 млн пользователей) и дата-центров (13,2 тыс стоек).

Ростелеком — компания с множеством разных сервисов и продуктов. Разных настолько, что между собой они могут быть не связаны вообще. Например, одни команды занимаются видеонаблюдением, а другие создают продукт в сфере EdTech. Для успешной работы такого разнообразия проектов и команд мы создали уникальную систему самоуправления IT — KARMA Framework.",107.39,Программное обеспечение Связь и телекоммуникации Веб-сервисы,01.02.12,"Наука, технологии и инновации"
VK,"Строим сервисы, используя силу социальных сетей.
Помогаем людям и компаниям объединяться вокруг того, что действительно важно.",894.7,Мобильные технологии Веб-сервисы Игры и развлечения,09.08.08,"Наука, технологии и инновации"
ИТМО,"ИТМО – больше чем университет! ИТМО – научно-образовательная корпорация.

Индивидуальное образование, позволяющее строить успешную карьеру с первых курсов. Академическая свобода, DeepTech, отсутствие рамок. Бизнес-подходы к организации работы, стартаперская культура и открытый код. Влюбляться в науку, вдохновлять, находить таланты — наш образ жизни.

Альма-матер победителей международных соревнований по программированию: ICPC (единственный в мире семикратный чемпион), Google Code Jam, Facebook Hacker Cup, Яндекс.Алгоритм, Russian Code Cup, Topcoder Open.

Приоритетные направления: IT, фотоника, робототехника, квантовые коммуникации, трансляционная медицина, Art&Science, Science Communication.",103.84,Веб-разработка Программное обеспечение Связь и телекоммуникации,"
19.10.15",Образование и Кадры
СберМаркет,"Привет! Это блог Tech-команды СберМаркета, и это мы создаем высоконагруженный e-commerce, сервис №1 на рынке e-grocery.

Наш отдел разработки — это 700 человек и 15 направлений, среди которых продуктовая разработка четырех приложений и 1 сайта, логистика и сборка, маркетинговые инструменты для брендов и ретейлеров, несколько платформенных команд.

СберМаркет Tech это:
Высоконагруженный e-commerce: пиковая нагрузка 258 000 RPM, 500 миллиардов запросов и более 3Тб логов в день, число подов в 1 кластере k8s перевалило за 10 000.
Фокус на надежности и масштабируемости: мы обеспечиваем стабильность сервиса при росте нагрузке в 20 раз.
Одна из самых сильных Ruby-команд России. И хотим стать такими же в Go-разработке.
Mobile first не на словах, а на деле: более 80% заказов идут через мобильное приложение.

Мы любим делиться инженерным опытом и знаниями с IT-сообществом: выступаем на конференциях, проводим митапы, обучаем студентов на стажировке. Тут мы подробнее расскажем о подкапотных технологиях в e-commerce.",114.5,Электронная коммерция,26.05.20,Подкасты и цифровой контент
